Family,Genome,Protein,Genus,Species,Classifier
AA9,GCA_900044135.1,CEF74901.1,Fusarium,graminearum,CAZy
GH106,GCF_000002855.3,XP_001392956.2,Aspergillus,niger,dbCAN
GH31,GCA_000509505.1,ETL94899.1,Phytophthora,parasitica,dbCAN
CBM35,GCA_003615155.1,RKL16030.1,Fusarium,oxysporum,dbCAN
GH16,GCF_000002855.3,XP_001391205.1,Aspergillus,niger,dbCAN
GH3,GCA_900248155.1,SPB48833.1,Aspergillus,niger,dbCAN
GH16,GCA_003615165.1,RKK88816.1,Fusarium,oxysporum,dbCAN
GH18,GCA_900074905.1,CZT01488.1,Rhynchosporium,agropyri,dbCAN
GH0,GCA_000988865.1,KKP07599.1,Trichoderma,harzianum,dbCAN
GH31,GCA_900096695.1,SCO86541.1,Fusarium,oxysporum,dbCAN
GH5,GCA_003615185.1,RKL18612.1,Fusarium,oxysporum,dbCAN
AA1,GCA_003615155.1,RKL21234.1,Fusarium,oxysporum,dbCAN
GH18,GCA_900074885.1,CZS95424.1,Rhynchosporium,commune,dbCAN
CE3,GCA_003615115.1,RKK86150.1,Fusarium,oxysporum,dbCAN
GT71,GCA_000509465.1,ETK74849.1,Phytophthora,parasitica,dbCAN
CE5,GCA_900029915.1,CVL00732.1,Fusarium,proliferatum,dbCAN
GH32,GCA_900074905.1,CZT11143.1,Rhynchosporium,agropyri,dbCAN
GH89,GCA_900074885.1,CZS97027.1,Rhynchosporium,commune,dbCAN
AA3,GCA_003615215.1,RKL31581.1,Fusarium,proliferatum,dbCAN
GT71,GCA_000509525.1,ETM34846.1,Phytophthora,parasitica,dbCAN
CBM1,GCA_002838845.1,PKK42554.1,Trichoderma,harzianum,dbCAN
GH76,GCA_003290285.1,RBA18063.1,Fusarium,proliferatum,dbCAN
AA9,GCA_012656115.1,KAF4293725.1,Aspergillus,fumigatus,dbCAN
GH133,GCA_900248155.1,SPB44198.1,Aspergillus,niger,dbCAN
GH28,GCA_012656185.1,KAF4255467.1,Aspergillus,fumigatus,dbCAN
AA3,GCF_000002855.3,XP_001395781.1,Aspergillus,niger,dbCAN
GH10,GCA_003615185.1,RKL52194.1,Fusarium,oxysporum,dbCAN
GT4,GCF_000149755.1,XP_009523098.1,Phytophthora,sojae,dbCAN
GT8,GCA_012656215.1,KAF4270101.1,Aspergillus,fumigatus,dbCAN
GT5,GCF_000002855.3,XP_001395327.2,Aspergillus,niger,dbCAN
CE12,GCA_004346965.1,QBZ54770.1,Magnaporthe,oryzae,dbCAN
GH3,GCA_003615215.1,RKL28299.1,Fusarium,proliferatum,dbCAN
GH81,GCA_001078535.1,CCI41887.1,Albugo,candida,dbCAN
PL3,GCA_003615185.1,RKL42272.1,Fusarium,oxysporum,dbCAN
AA3,GCA_900074895.1,CZT42057.1,Rhynchosporium,secalis,dbCAN
GH81,GCF_900000015.1,XP_024583417.1,Plasmopara,halstedii,dbCAN
GT39,GCA_002352725.1,PCD22993.1,Fusarium,graminearum,dbCAN
GH43,GCA_002211485.2,TPR08743.1,Aspergillus,niger,dbCAN
AA3,GCA_002211485.2,TPR01621.1,Aspergillus,niger,dbCAN
AA6,GCA_001515345.1,GAQ33730.1,Aspergillus,niger,dbCAN
GT2,GCA_900074905.1,CZS91957.1,Rhynchosporium,agropyri,dbCAN
AA6,GCA_002234955.1,OXN25729.1,Aspergillus,fumigatus,dbCAN
GH31,GCA_900074895.1,CZT50382.1,Rhynchosporium,secalis,dbCAN
CE4,GCA_001515345.1,GAQ44992.1,Aspergillus,niger,dbCAN
GT57,GCA_900080155.1,SAM60671.1,Ustilago,bromivora,CAZy
GH5,GCA_000509465.1,ETK81650.1,Phytophthora,parasitica,dbCAN
CBM1,GCA_004346965.1,QBZ62005.1,Magnaporthe,oryzae,dbCAN
GH18,GCA_012656215.1,KAF4263186.1,Aspergillus,fumigatus,dbCAN
GT21,GCA_002352725.1,PCD19453.1,Fusarium,graminearum,dbCAN
GH76,GCA_003615155.1,RKL03834.1,Fusarium,oxysporum,dbCAN
GT32,GCA_900080155.1,SAM81963.1,Ustilago,bromivora,dbCAN
AA3,GCA_000509465.1,ETK76284.1,Phytophthora,parasitica,dbCAN
GT32,GCF_000002855.3,XP_001393335.2,Aspergillus,niger,dbCAN
GH78,GCF_000002855.3,XP_001391117.1,Aspergillus,niger,dbCAN
GH3,GCA_900074895.1,CZT49231.1,Rhynchosporium,secalis,dbCAN
GH18,GCA_003615215.1,RKL34283.1,Fusarium,proliferatum,dbCAN
PL1,GCA_012552325.1,KAF4139182.1,Phytophthora,infestans,dbCAN
GT71,GCA_900080155.1,SAM81759.1,Ustilago,bromivora,dbCAN
GT71,GCA_003615155.1,RKL17223.1,Fusarium,oxysporum,dbCAN
PL4,GCA_000509485.1,ETL28301.1,Phytophthora,parasitica,dbCAN
AA9,GCA_002234955.1,OXN16576.1,Aspergillus,fumigatus,dbCAN
GH30,GCA_000509465.1,ETK91600.1,Phytophthora,parasitica,dbCAN
CE8,GCA_003615165.1,RKL05930.1,Fusarium,oxysporum,dbCAN
GH63,GCA_004346965.1,QBZ64685.1,Magnaporthe,oryzae,CAZy
AA3,GCA_900074905.1,CZT01038.1,Rhynchosporium,agropyri,dbCAN
GH30,GCA_000988865.1,KKO96621.1,Trichoderma,harzianum,dbCAN
GT2,GCA_002838845.1,PKK43570.1,Trichoderma,harzianum,dbCAN
GH92,GCA_001515345.1,GAQ43145.1,Aspergillus,niger,dbCAN
CBM18,GCF_004355905.1,XP_030985920.1,Magnaporthe,grisea,dbCAN
GH76,GCA_002234985.1,OXN10190.1,Aspergillus,fumigatus,dbCAN
AA7,GCA_003615115.1,RKK72044.1,Fusarium,oxysporum,dbCAN
GH7,GCA_002234985.1,OXN07661.1,Aspergillus,fumigatus,dbCAN
GT48,GCA_001078535.1,CCI41044.1,Albugo,candida,dbCAN
GT1,GCF_000002855.3,XP_001397905.2,Aspergillus,niger,dbCAN
GH17,GCA_900044135.1,SCB65345.1,Fusarium,graminearum,dbCAN
GT33,GCF_003025115.1,XP_024754193.1,Trichoderma,citrinoviride,dbCAN
AA9,GCA_003615155.1,RKK86338.1,Fusarium,oxysporum,dbCAN
GH10,GCA_003615185.1,RKL23389.1,Fusarium,oxysporum,dbCAN
GT66,GCA_000509525.1,ETM52438.1,Phytophthora,parasitica,dbCAN
GH7,GCA_900074885.1,CZS89566.1,Rhynchosporium,commune,dbCAN
GH18,GCA_900074895.1,CZT39884.1,Rhynchosporium,secalis,dbCAN
GH47,GCA_900096695.1,SCO81205.1,Fusarium,oxysporum,dbCAN
GH89,GCA_002894145.1,PNP56323.1,Trichoderma,harzianum,dbCAN
AA5,GCA_003290285.1,RBA21943.1,Fusarium,proliferatum,dbCAN
GH5,GCA_900044135.1,CEF79732.1,Fusarium,graminearum,CAZy
GH39,GCA_004346965.1,QBZ66531.1,Magnaporthe,oryzae,dbCAN
GH47,GCA_012295175.1,KAF4030749.1,Phytophthora,infestans,dbCAN
GH10,GCA_900248155.1,SPB50701.1,Aspergillus,niger,dbCAN
GT1,GCA_002838845.1,PKK53964.1,Trichoderma,harzianum,dbCAN
GH6,GCA_900074885.1,CZT11326.1,Rhynchosporium,commune,dbCAN
CBM1,GCA_002894145.1,PNP51897.1,Trichoderma,harzianum,dbCAN
AA12,GCA_900029915.1,CVK86893.1,Fusarium,proliferatum,dbCAN
GH43,GCA_900029915.1,CVL11762.1,Fusarium,proliferatum,dbCAN
GT20,GCA_012552325.1,KAF4129171.1,Phytophthora,infestans,dbCAN
GT15,GCA_900074895.1,CZT45309.1,Rhynchosporium,secalis,dbCAN
PL4,GCA_900044135.1,CEF73043.1,Fusarium,graminearum,CAZy
CE5,GCA_004346965.1,QBZ64457.1,Magnaporthe,oryzae,dbCAN
GH1,GCA_012656125.1,KAF4285519.1,Aspergillus,fumigatus,dbCAN
GT48,GCA_000509525.1,ETM42108.1,Phytophthora,parasitica,dbCAN
GH38,GCA_012656125.1,KAF4283442.1,Aspergillus,fumigatus,dbCAN
CE16,GCA_012656115.1,KAF4292484.1,Aspergillus,fumigatus,dbCAN
CE8,GCA_003615115.1,RKK66116.1,Fusarium,oxysporum,dbCAN
GT2,GCA_001515345.1,GAQ45308.1,Aspergillus,niger,dbCAN
AA1,GCA_003615115.1,RKK70017.1,Fusarium,oxysporum,dbCAN
GH10,GCA_012656215.1,KAF4266678.1,Aspergillus,fumigatus,dbCAN
GH128,GCA_012656215.1,KAF4266532.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_001078535.1,CCI49536.1,Albugo,candida,dbCAN
GH2,GCA_002894145.1,PNP57925.1,Trichoderma,harzianum,dbCAN
GT71,GCA_001078535.1,CCI50008.1,Albugo,candida,dbCAN
CBM21,GCA_004346965.1,QBZ58196.1,Magnaporthe,oryzae,CAZy
GH17,GCA_001078535.1,CCI40715.1,Albugo,candida,dbCAN
GH31,GCA_900248155.1,SPB50557.1,Aspergillus,niger,dbCAN
GT39,GCA_012656215.1,KAF4279067.1,Aspergillus,fumigatus,dbCAN
GH31,GCA_002352725.1,PCD20439.1,Fusarium,graminearum,dbCAN
GT1,GCA_003615155.1,RKL11992.1,Fusarium,oxysporum,dbCAN
GH12,GCA_000509465.1,ETK77306.1,Phytophthora,parasitica,dbCAN
GH32,GCA_900044135.1,CEF74299.1,Fusarium,graminearum,dbCAN
CE3,GCA_002838845.1,PKK43057.1,Trichoderma,harzianum,dbCAN
GH128,GCA_002234985.1,OXN01831.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_900074885.1,CZT01074.1,Rhynchosporium,commune,dbCAN
GH28,GCA_001515345.1,GAQ39913.1,Aspergillus,niger,dbCAN
GT1,GCA_003290285.1,RBA12687.1,Fusarium,proliferatum,dbCAN
GT64,GCA_900096695.1,SCO78431.1,Fusarium,oxysporum,dbCAN
GH3,GCA_900096695.1,SCO91166.1,Fusarium,oxysporum,dbCAN
PL1,GCF_000002855.3,XP_001397243.1,Aspergillus,niger,dbCAN
GH18,GCA_003615215.1,RKL29958.1,Fusarium,proliferatum,dbCAN
AA3,GCA_900044135.1,CEF73970.1,Fusarium,graminearum,dbCAN
GH47,GCA_900074885.1,CZT12885.1,Rhynchosporium,commune,dbCAN
GH76,GCA_001515345.1,GAQ42817.1,Aspergillus,niger,dbCAN
GH53,GCA_003615215.1,RKL29933.1,Fusarium,proliferatum,dbCAN
AA12,GCA_900074905.1,CZT00083.1,Rhynchosporium,agropyri,dbCAN
GH28,GCA_000509505.1,ETL89413.1,Phytophthora,parasitica,dbCAN
GH154,GCA_003615165.1,RKK95957.1,Fusarium,oxysporum,dbCAN
GT20,GCF_000002855.3,XP_001393155.1,Aspergillus,niger,dbCAN
AA9,GCA_003615185.1,RKL30586.1,Fusarium,oxysporum,dbCAN
GH17,GCF_000002855.3,XP_001390975.1,Aspergillus,niger,dbCAN
AA12,GCA_003615185.1,RKL15051.1,Fusarium,oxysporum,dbCAN
GH32,GCA_012295175.1,KAF4032065.1,Phytophthora,infestans,dbCAN
GT59,GCA_012552325.1,KAF4133963.1,Phytophthora,infestans,dbCAN
GH75,GCA_012656115.1,KAF4289184.1,Aspergillus,fumigatus,dbCAN
GT4,GCA_900096695.1,SCO89280.1,Fusarium,oxysporum,dbCAN
PL11,GCA_003615215.1,RKL36645.1,Fusarium,proliferatum,dbCAN
GH16,GCA_003615215.1,RKL41882.1,Fusarium,proliferatum,dbCAN
GT39,GCA_012656185.1,KAF4259132.1,Aspergillus,fumigatus,dbCAN
CE16,GCA_900248155.1,SPB47327.1,Aspergillus,niger,dbCAN
GT90,GCA_003290285.1,RBA22852.1,Fusarium,proliferatum,dbCAN
PL26,GCA_002234985.1,OXN03458.1,Aspergillus,fumigatus,dbCAN
GT8,GCA_012656165.1,KAF4273587.1,Aspergillus,fumigatus,dbCAN
CE4,GCF_004355905.1,XP_030985965.1,Magnaporthe,grisea,dbCAN
GH5,GCA_003615115.1,RKK78490.1,Fusarium,oxysporum,dbCAN
GH43,GCA_003615155.1,RKK98701.1,Fusarium,oxysporum,dbCAN
PL1,GCA_900029915.1,CVL05215.1,Fusarium,proliferatum,dbCAN
GH92,GCA_012656125.1,KAF4283367.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_001515345.1,GAQ46278.1,Aspergillus,niger,dbCAN
GH5,GCA_000509525.1,ETM44648.1,Phytophthora,parasitica,dbCAN
GH76,GCA_012656165.1,KAF4275189.1,Aspergillus,fumigatus,dbCAN
GH51,GCA_002352725.1,PCD25605.1,Fusarium,graminearum,dbCAN
GH67,GCA_003615185.1,RKL22820.1,Fusarium,oxysporum,dbCAN
GH28,GCA_002211485.2,TPR05513.1,Aspergillus,niger,dbCAN
GH105,GCA_003290285.1,RBA17658.1,Fusarium,proliferatum,dbCAN
GH20,GCA_003615215.1,RKL29899.1,Fusarium,proliferatum,dbCAN
GH16,GCA_004346965.1,QBZ66221.1,Magnaporthe,oryzae,CAZy
CBM13,GCF_000149755.1,XP_009534053.1,Phytophthora,sojae,dbCAN
GT57,GCA_000509485.1,ETL42901.1,Phytophthora,parasitica,dbCAN
GH18,GCA_003615165.1,RKK93525.1,Fusarium,oxysporum,dbCAN
CBM48,GCA_012656165.1,KAF4265990.1,Aspergillus,fumigatus,dbCAN
GH15,GCA_900074885.1,CZS94957.1,Rhynchosporium,commune,dbCAN
GH64,GCA_003615185.1,RKL50106.1,Fusarium,oxysporum,dbCAN
CBM52,GCA_004346965.1,QBZ59607.1,Magnaporthe,oryzae,dbCAN
GH72,GCA_002838845.1,PKK48023.1,Trichoderma,harzianum,dbCAN
CBM43,GCA_003615185.1,RKL20058.1,Fusarium,oxysporum,dbCAN
CBM20,GCA_900248155.1,SPB51344.1,Aspergillus,niger,dbCAN
GH16,GCA_000599445.1,EYB29076.1,Fusarium,graminearum,dbCAN
GT66,GCA_012295175.1,KAF4031593.1,Phytophthora,infestans,dbCAN
GH18,GCA_900096695.1,SCO90462.1,Fusarium,oxysporum,dbCAN
GH47,GCA_012295175.1,KAF4028984.1,Phytophthora,infestans,dbCAN
GT1,GCA_000509485.1,ETL34417.1,Phytophthora,parasitica,dbCAN
GT2,GCA_900074905.1,CZS89292.1,Rhynchosporium,agropyri,dbCAN
GH16,GCA_002234955.1,OXN24344.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_004346965.1,QBZ64417.1,Magnaporthe,oryzae,CAZy
GT20,GCA_012656165.1,KAF4274590.1,Aspergillus,fumigatus,dbCAN
CE5,GCF_004355905.1,XP_030981922.1,Magnaporthe,grisea,dbCAN
GH55,GCA_004346965.1,QBZ62738.1,Magnaporthe,oryzae,CAZy
GH31,GCA_002211485.2,TPR07672.1,Aspergillus,niger,dbCAN
GH39,GCA_000599445.1,EYB25706.1,Fusarium,graminearum,dbCAN
GH5,GCA_012656165.1,KAF4261095.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_900044135.1,CEF88340.1,Fusarium,graminearum,dbCAN
GH32,GCF_000002855.3,XP_001394322.1,Aspergillus,niger,dbCAN
GH3,GCA_002234955.1,OXN27110.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_000599445.1,EYB29149.1,Fusarium,graminearum,dbCAN
CE15,GCA_012656185.1,KAF4265634.1,Aspergillus,fumigatus,dbCAN
GT58,GCA_900029915.1,CVK89109.1,Fusarium,proliferatum,dbCAN
GH47,GCA_000599445.1,EYB28298.1,Fusarium,graminearum,dbCAN
GH13,GCA_003615185.1,RKL35564.1,Fusarium,oxysporum,dbCAN
CE16,GCA_002234955.1,OXN24486.1,Aspergillus,fumigatus,dbCAN
AA3,GCF_000002855.3,XP_001402247.2,Aspergillus,niger,dbCAN
GT2,GCA_900080155.1,SAM82228.1,Ustilago,bromivora,dbCAN
GH18,GCA_002838845.1,PKK48462.1,Trichoderma,harzianum,dbCAN
GH67,GCA_012656185.1,KAF4264963.1,Aspergillus,fumigatus,dbCAN
GH47,GCA_002894145.1,PNP56235.1,Trichoderma,harzianum,dbCAN
GH43,GCA_012656125.1,KAF4287322.1,Aspergillus,fumigatus,dbCAN
GT64,GCA_003615155.1,RKL10865.1,Fusarium,oxysporum,dbCAN
AA5,GCA_003615155.1,RKK95487.1,Fusarium,oxysporum,dbCAN
CE1,GCA_900074885.1,CZS95636.1,Rhynchosporium,commune,dbCAN
GH43,GCA_012656185.1,KAF4261546.1,Aspergillus,fumigatus,dbCAN
AA9,GCA_900074905.1,CZT11358.1,Rhynchosporium,agropyri,dbCAN
GH3,GCA_900029915.1,CVL13350.1,Fusarium,proliferatum,dbCAN
GT20,GCA_003615165.1,RKK87465.1,Fusarium,oxysporum,dbCAN
GH5,GCA_002211485.2,TPR01526.1,Aspergillus,niger,dbCAN
GH0,GCF_000002855.3,XP_001391845.2,Aspergillus,niger,dbCAN
GT25,GCA_004346965.1,QBZ63647.1,Magnaporthe,oryzae,dbCAN
GH37,GCA_003615215.1,RKL30642.1,Fusarium,proliferatum,dbCAN
GT8,GCA_900096695.1,SCO90875.1,Fusarium,oxysporum,dbCAN
GH3,GCA_012656165.1,KAF4261289.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_900044135.1,CEF72070.1,Fusarium,graminearum,CAZy
CE8,GCA_012295175.1,KAF4043086.1,Phytophthora,infestans,dbCAN
PL1,GCA_900044135.1,CEF78298.1,Fusarium,graminearum,dbCAN
CE16,GCA_900029915.1,CVK85593.1,Fusarium,proliferatum,dbCAN
AA1,GCA_002352725.1,PCD18638.1,Fusarium,graminearum,dbCAN
GH30,GCF_900000015.1,XP_024582995.1,Plasmopara,halstedii,dbCAN
GH5,GCA_000509465.1,ETK76712.1,Phytophthora,parasitica,dbCAN
GT1,GCA_003290285.1,RBA13070.1,Fusarium,proliferatum,dbCAN
GT2,GCA_900044135.1,SCB65333.1,Fusarium,graminearum,dbCAN
GH18,GCA_002838845.1,PKK44119.1,Trichoderma,harzianum,dbCAN
GH2,GCA_003615165.1,RKK81955.1,Fusarium,oxysporum,dbCAN
GT41,GCA_012552325.1,KAF4139022.1,Phytophthora,infestans,dbCAN
GT48,GCA_012295175.1,KAF4046844.1,Phytophthora,infestans,dbCAN
GH47,GCA_003615165.1,RKK91362.1,Fusarium,oxysporum,dbCAN
GT3,GCA_002211485.2,TPR08759.1,Aspergillus,niger,dbCAN
GH18,GCA_012656165.1,KAF4259627.1,Aspergillus,fumigatus,dbCAN
GT41,GCA_003615115.1,RKK70754.1,Fusarium,oxysporum,dbCAN
